Demand,Total parts,Parts per hour,VA Time,Drilling Waiting Time,Milling Waiting Time,Assembly Waiting Time,Drilling Util,Milling Util,Assembly Util,,,,,,,,,,,,
19,9158,382,8.988213,157.089112,0.00003,238.090286,0.999999,0.749918,0.995838,,,,,,,,,,,,
15,1002,42,8.982254,0,0,0.002262,0.13869,0.103915,0.206573,,,,,,,,,,,,
12,1341,56,9.012651,0.00391,0,0.032511,0.186459,0.140282,0.279115,,,,,,,,,,,,
13,6253,261,8.998941,9.807496,0.000024,188.255908,0.865567,0.646558,0.995893,,,,,,,,,,,,
18,9036,377,9.006985,142.83899,0.000055,239.401469,0.999999,0.748306,0.996038,,,,,,,,,,,,
12,8500,354,8.98798,125.87986,0.000062,235.940332,0.99779,0.74512,0.995988,,,,,,,,,,,,
2,7992,333,9.002181,70.328151,0.000039,224.73498,0.989862,0.738708,0.994845,,,,,,,,,,,,
14,5664,236,8.996964,3.58681,0.000054,117.544192,0.781224,0.584703,0.988042,,,,,,,,,,,,
15,1419,59,9.003381,0.001605,0,0.034756,0.196623,0.148786,0.29412,,,,,,,,,,,,
4,8778,366,8.977548,133.880611,0.000033,238.308483,0.999999,0.749271,0.996163,,,,,,,,,,,,
17,7582,316,8.988626,36.058824,0.000123,235.876092,0.994948,0.743926,0.9942,,,,,,,,,,,,
3,4670,195,9.012128,1.7748,0,10.583368,0.645762,0.482672,0.953152,,,,,,,,,,,,
14,1940,81,9.02407,0.024047,0,0.120968,0.269194,0.201453,0.404949,,,,,,,,,,,,
17,5291,220,9.019213,2.44389,0.000038,84.755454,0.734753,0.550955,0.992407,,,,,,,,,,,,
7,7046,294,8.975505,14.683042,0.000115,178.314133,0.947777,0.710714,0.994015,,,,,,,,,,,,
7,4610,192,9.008537,1.506322,0.000178,22.121039,0.637274,0.476899,0.945434,,,,,,,,,,,,
20,9860,411,9.009166,232.922438,0.000062,237.959547,0.999134,0.74735,0.995959,,,,,,,,,,,,
4,5060,211,9.037643,1.966326,0.000032,36.003252,0.701129,0.527635,0.990689,,,,,,,,,,,,
4,1736,72,9.004418,0.015481,0.000009,0.129448,0.241493,0.179819,0.363654,,,,,,,,,,,,
7,3465,144,8.980679,0.460948,0,1.861665,0.479727,0.358579,0.716004,,,,,,,,,,,,
14,5632,235,8.997566,2.735437,0.000043,127.229601,0.781845,0.584317,0.995898,,,,,,,,,,,,
7,3157,132,9.005441,0.359789,0,1.326409,0.439001,0.326942,0.652819,,,,,,,,,,,,
15,6149,256,8.995041,7.801534,0.000041,157.964712,0.851509,0.636074,0.996112,,,,,,,,,,,,
5,2390,100,8.968353,0.139213,0.000002,0.534084,0.330444,0.246905,0.49038,,,,,,,,,,,,
13,8514,355,8.983082,107.367382,0.000072,237.801555,0.998398,0.746402,0.995943,,,,,,,,,,,,
17,9101,379,8.993893,167.823708,0.000008,237.772196,0.998739,0.74641,0.996127,,,,,,,,,,,,
1,490,20,9.065676,0,0,0,0.068528,0.05177,0.101893,,,,,,,,,,,,
2,4374,182,9.013833,1.437436,0.000104,9.661108,0.60719,0.455155,0.899733,,,,,,,,,,,,
7,4900,204,8.988334,1.443341,0.00013,46.005502,0.677637,0.507467,0.994144,,,,,,,,,,,,
18,8820,368,9.004992,81.713816,0.000003,221.054568,0.982543,0.736253,0.993549,,,,,,,,,,,,
19,5592,233,8.974793,2.60244,0.000067,112.778695,0.768967,0.57666,0.985182,,,,,,,,,,,,
18,9378,391,9.002655,143.096602,0.000056,231.759468,0.996129,0.746427,0.996046,,,,,,,,,,,,
17,4014,167,8.996094,0.94625,0.000004,4.710408,0.557449,0.417823,0.835107,,,,,,,,,,,,
18,8658,361,8.988906,79.778608,0.000026,239.138211,0.997316,0.74683,0.995226,,,,,,,,,,,,
9,4527,189,8.996914,1.25649,0.000037,10.705859,0.628254,0.471597,0.92898,,,,,,,,,,,,
12,5616,234,9.007109,4.02034,0.000037,113.755962,0.778572,0.584148,0.993347,,,,,,,,,,,,
7,3115,130,9.021364,0.323203,0,1.233726,0.430443,0.321805,0.64191,,,,,,,,,,,,
16,3304,138,9.000945,0.507788,0.000006,1.632776,0.457751,0.344915,0.685662,,,,,,,,,,,,
5,6305,263,9.000896,10.239984,0.000033,139.091267,0.865496,0.646705,0.99588,,,,,,,,,,,,
3,2385,99,9.016328,0.082489,0,0.527891,0.332164,0.248738,0.497404,,,,,,,,,,,,
